Term,Artist,Genres,Popularity
long_term,Sum 41,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock",72
long_term,BOYS LIKE GIRLS,"neon pop punk, pop punk",60
long_term,Del Water Gap,"deep new americana, indie pop, pov: indie",60
long_term,Alabama Shakes,"alabama indie, modern blues rock, rock",59
long_term,Oceanic,virginia indie,23
long_term,NIGHT TRAVELER,hopebeat,36
long_term,Anne-Marie,pop,78
long_term,Mandy Moore,"dance pop, neo mellow, post-teen pop",63
long_term,Parachute,"acoustic pop, charlottesville indie, neo mellow, neon pop punk, pop rock, viral pop",48
long_term,Landon Conrath,,51
long_term,Tedeschi Trucks Band,"blues rock, electric blues, jam band, modern blues, southern rock",51
long_term,Dobie Gray,northern soul,49
long_term,Juice WRLD,"chicago rap, melodic rap, rap",87
long_term,Maggie Rogers,indie pop,70
long_term,Nick Jonas,"dance pop, pop",63
long_term,Paul McCartney,"classic rock, mellow gold, rock, soft rock",71
long_term,The Brook & The Bluff,alabama indie,50
long_term,Georgia Greene,gen z singer-songwriter,16
long_term,Morgan Wallen,contemporary country,87
long_term,RYLY,hopebeat,24
long_term,Lawrence,"nyc pop, retro soul",53
long_term,Aly & AJ,"dance pop, girl group, post-teen pop",54
long_term,Gov't Mule,"blues rock, electric blues, jam band, modern blues, modern blues rock, southern rock",44
long_term,Bre Kennedy,nashville singer-songwriter,39
long_term,Dan Auerbach,modern blues rock,55
long_term,AJR,pov: indie,73
long_term,Troy,movie tunes,59
long_term,Chappell Roan,"indie pop, springfield mo indie",64
long_term,Perlo,ambient folk,28
long_term,Wes Montgomery,"hard bop, jazz, jazz guitar",50
long_term,James TW,"british singer-songwriter, uk pop",63
long_term,BENEE,"alt z, nz pop",63
long_term,Pusha T,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",73
long_term,Amos Lee,"acoustic pop, neo mellow, stomp and holler",58
long_term,Glee Cast,"glee club, post-teen pop",68
long_term,The Heavy,"bath indie, modern blues rock",56
long_term,The Colourist,"indie poptimism, metropopolis, shimmer pop",38
long_term,Polaris,"australian metalcore, australian post-hardcore, melodic metalcore, metalcore",60
long_term,Guthrie Govan,instrumental rock,45
long_term,Every Avenue,"neon pop punk, pop punk",45
long_term,Gatlin,modern alternative pop,50
long_term,Bee Gees,"disco, mellow gold, soft rock",77
long_term,Future,"atl hip hop, hip hop, rap, southern hip hop, trap",89
long_term,I The Mighty,"bay area indie, progressive post-hardcore",39
long_term,Saint Motel,"la indie, modern alternative rock, modern rock, pov: indie",62
long_term,Taking Back Sunday,"emo, neon pop punk, pop punk, post-hardcore, screamo",61
long_term,Gotye,australian pop,68
long_term,Maisie Peters,"alt z, uk pop",65
