Term,Artist,Song,Album,Release Date
medium_term,Reba McEntire,I'm A Survivor,Greatest Hits Volume III - I'm A Survivor,2001-10-23
medium_term,Hozier,Eat Your Young,Eat Your Young,2023-03-17
medium_term,The Academic,Chasers,Loose Friends,2015-10-30
medium_term,Gracie Abrams,Friend,minor,2020-07-14
medium_term,5 Seconds of Summer,She Looks So Perfect,5 Seconds Of Summer,2014-06-27
medium_term,Arctic Monkeys,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),2007-04-24
medium_term,Kenya Grace,Strangers,Strangers,2023-09-01
medium_term,All Time Low,A Love Like War (feat. Vic Fuentes),Don't Panic: It's Longer Now!,2013-09-30
medium_term,Two Door Cinema Club,What You Know,Tourist History,2010-02-17
medium_term,Mt. Joy,Strangers,Rearrange Us,2020-06-05
medium_term,Conan Gray,Greek God,Sunset Season,2018-11-16
medium_term,Dominic Fike,Babydoll,"Don't Forget About Me, Demos",2018-10-16
medium_term,John Mayer,Vultures,Continuum,2006-09-11
medium_term,Hozier,Sunlight,"Wasteland, Baby!",2019-03-01
medium_term,Young the Giant,Simplify,Mirror Master,2018-10-12
medium_term,Young the Giant,My Body,Young The Giant (Special Edition),2011
medium_term,John Mayer,All I Want Is to Be With You,Sob Rock,2021-07-16
medium_term,Olivia Rodrigo,love is embarrassing,GUTS,2023-09-08
medium_term,The Academic,Why Can't We Be Friends?,Tales from the Backseat,2018-01-12
medium_term,Young the Giant,Amerika,Home of the Strange,2016-08-12
medium_term,The Paper Kites,Bloom - Bonus Track,Woodland,2013-03-05
medium_term,The Killers,Somebody Told Me,Hot Fuss,2004
medium_term,Miley Cyrus,I Hope You Find It,The Last Song,2010-01-01
medium_term,Lorde,Ribs,Pure Heroine,2013-09-27
medium_term,Olivia Rodrigo,pretty isn’t pretty,GUTS,2023-09-08
medium_term,5 Seconds of Summer,Ghost Of You,Youngblood (Deluxe),2018-06-15
medium_term,Billie Eilish,TV,Guitar Songs,2022-07-21
medium_term,Tate McRae,hurt my feelings,THINK LATER,2023-12-08
medium_term,Sabrina Carpenter,santa doesn’t know you like i do,fruitcake,2023-11-17
medium_term,Two Door Cinema Club,Something Good Can Work,Tourist History,2010-02-17
medium_term,The Academic,AFTERTASTE,AFTERTASTE,2019-09-13
medium_term,5 Seconds of Summer,CAROUSEL,5SOS5,2022-09-23
medium_term,San Cisco,Too Much Time Together,Gracetown,2015-03-06
medium_term,Billie Eilish,Bored,Bored,2017-03-30
medium_term,My Chemical Romance,Cancer,The Black Parade,2006-10-23
medium_term,Conan Gray,Astronomy,Superache,2022-06-24
medium_term,John Mayer,Belief,Continuum,2006-09-11
medium_term,John Mayer,Gravity,Continuum,2006-09-11
medium_term,Billie Eilish,OverHeated,Happier Than Ever,2021-07-30
medium_term,Young the Giant,Daydreamer,Mind Over Matter,2014-01-17
medium_term,Of Monsters and Men,Little Talks,My Head Is An Animal,2012-01-01
